eventDate,year,month,day,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,
1993-09-08T00:00:00Z,1993,9,8,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-05-01T00:00:00Z,1993,5,1,-38.041,144.5233,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2001-05-25T00:00:00Z,2001,5,25,-38.0456,144.5277,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-05-03T00:00:00Z,1992,5,3,-38.0068,144.593,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-10-04T00:00:00Z,1991,10,4,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2000-07-04T00:00:00Z,2000,7,4,-38.5209,145.3156,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1977-01-01T00:00:00Z,1977,1,1,-38.0568,144.4096,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1927-10-24T00:00:00Z,1927,10,24,-37.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-07-03T00:00:00Z,1988,7,3,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2008-06-11T00:00:00Z,2008,6,11,-38.65,143.0708,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-09-06T00:00:00Z,1987,9,6,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1984-07-18T00:00:00Z,1984,7,18,-38.2712,144.767,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-09-04T00:00:00Z,1988,9,4,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2007-05-20T00:00:00Z,2007,5,20,-38.2422,144.4537,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-09-18T00:00:00Z,1994,9,18,-38.0395,144.5382,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-07-27T00:00:00Z,1983,7,27,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-08-11T00:00:00Z,1988,8,11,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1985-06-01T00:00:00Z,1985,6,1,-38.5651,145.3513,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-04-07T00:00:00Z,1991,4,7,-38.2068,141.293,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-07-25T00:00:00Z,1993,7,25,-37.8951,144.8,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-09-12T00:00:00Z,1993,9,12,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-08-06T00:00:00Z,1992,8,6,-38.2568,144.6763,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1985-06-01T00:00:00Z,1985,6,1,-38.5568,145.3429,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1985-09-07T00:00:00Z,1985,9,7,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-05-01T00:00:00Z,1983,5,1,-38.038,144.5086,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1884-10-22T00:00:00Z,1884,10,22,-38.3818,142.2013,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-07-07T00:00:00Z,1991,7,7,-38.2257,144.6541,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-07-29T00:00:00Z,1990,7,29,-38.2257,144.6541,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-07-25T00:00:00Z,1993,7,25,-38.2246,144.6884,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1984-05-26T00:00:00Z,1984,5,26,-38.4568,147.0429,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-07-23T00:00:00Z,1989,7,23,-38.2235,144.693,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-09-03T00:00:00Z,1990,9,3,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1984-09-09T00:00:00Z,1984,9,9,-38.05,144.4997,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-09-24T00:00:00Z,1992,9,24,-38.2529,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-07-23T00:00:00Z,1989,7,23,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1999-06-30T00:00:00Z,1999,6,30,-38.315,142.0349,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1999-08-15T00:00:00Z,1999,8,15,-37.9984,144.5521,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1979-07-01T00:00:00Z,1979,7,1,-38.0818,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
,,,,-37.9568,144.6263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-07-05T00:00:00Z,1989,7,5,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2004-05-16T00:00:00Z,2004,5,16,-38.3485,142.3695,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-08-29T00:00:00Z,1987,8,29,-38.0401,144.5096,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-07-17T00:00:00Z,1983,7,17,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1984-07-23T00:00:00Z,1984,7,23,-38.05,144.4997,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1977-08-13T00:00:00Z,1977,8,13,-38.0818,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1980-07-26T00:00:00Z,1980,7,26,-38.4151,147.0846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-08-29T00:00:00Z,1994,8,29,-38.252,144.6636,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-07-02T00:00:00Z,1989,7,2,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-08-26T00:00:00Z,1990,8,26,-38.2257,144.6541,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-07-17T00:00:00Z,1990,7,17,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-06-19T00:00:00Z,1994,6,19,-38.2405,144.4583,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-08-05T00:00:00Z,1993,8,5,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-03-29T00:00:00Z,1990,3,29,-40.1401,143.9263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1979-03-09T00:00:00Z,1979,3,9,-38.0818,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-09-30T00:00:00Z,1987,9,30,-38.2651,144.6846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-05-02T00:00:00Z,1991,5,2,-38.0395,144.5382,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1980-03-01T00:00:00Z,1980,3,1,-38.0818,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-07-24T00:00:00Z,1988,7,24,-38.1,141,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-03-02T00:00:00Z,1986,3,2,-38.3789,145.2788,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-06-01T00:00:00Z,1986,6,1,-40.1401,143.9263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1979-03-10T00:00:00Z,1979,3,10,-38.0818,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1979-03-21T00:00:00Z,1979,3,21,-38.0818,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-07-28T00:00:00Z,1991,7,28,-38.2257,144.6541,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-07-25T00:00:00Z,1983,7,25,-38.0415,144.5461,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-04-14T00:00:00Z,1991,4,14,-37.9977,144.6045,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-06-26T00:00:00Z,1988,6,26,-36.8,139.9,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-09-16T00:00:00Z,1992,9,16,-38.2568,144.6596,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1926-11-01T00:00:00Z,1926,11,1,-37.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-09-27T00:00:00Z,1993,9,27,-38.2512,144.667,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-06-04T00:00:00Z,1989,6,4,-36.8,139.9,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-03-26T00:00:00Z,1990,3,26,-40.1735,143.9597,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1981-06-14T00:00:00Z,1981,6,14,-38.2485,144.7513,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2000-08-20T00:00:00Z,2000,8,20,-38.0428,144.5232,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-04-18T00:00:00Z,1993,4,18,-38.2401,144.4596,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-05-17T00:00:00Z,1992,5,17,-38.0068,144.5596,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1927-10-24T00:00:00Z,1927,10,24,-37.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-05-01T00:00:00Z,1983,5,1,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-09-18T00:00:00Z,1994,9,18,-38.0395,144.5382,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-08-10T00:00:00Z,1988,8,10,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2008-05-18T00:00:00Z,2008,5,18,-37.9619,144.633,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1964-01-01T00:00:00Z,1964,1,1,-38.0901,145.1429,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-05-28T00:00:00Z,1987,5,28,-38.2401,144.4596,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-05-15T00:00:00Z,1988,5,15,-37.9974,144.5931,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-08-25T00:00:00Z,1991,8,25,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-06-15T00:00:00Z,1991,6,15,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-04-27T00:00:00Z,1990,4,27,-37.9977,144.6045,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-04-29T00:00:00Z,1993,4,29,-38.041,144.5233,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2005-04-13T00:00:00Z,2005,4,13,-38.4331,142.5888,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-02-10T00:00:00Z,1989,2,10,-38.3798,145.2788,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1985-03-10T00:00:00Z,1985,3,10,-38.3798,145.2788,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-06-12T00:00:00Z,1986,6,12,-34.81,150.32,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1977-01-01T00:00:00Z,1977,1,1,-38.2484,145.4179,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-08-16T00:00:00Z,1992,8,16,-38.0401,144.5263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-08-16T00:00:00Z,1992,8,16,-38.2568,144.6763,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-07-27T00:00:00Z,1992,7,27,-38.0401,144.5263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-02-05T00:00:00Z,1988,2,5,-38.3789,145.2788,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1978-07-01T00:00:00Z,1978,7,1,-38.0818,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-05-17T00:00:00Z,1992,5,17,-38.0401,144.5263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-05-25T00:00:00Z,1986,5,25,-38.0401,144.5096,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-07-19T00:00:00Z,1987,7,19,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-05-01T00:00:00Z,1983,5,1,-38.3798,145.2788,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-08-17T00:00:00Z,1990,8,17,-38.2257,144.6541,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-07-29T00:00:00Z,1990,7,29,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-02-02T00:00:00Z,1988,2,2,-38.3789,145.2788,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2004-05-22T00:00:00Z,2004,5,22,-37.9186,144.7526,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-03-31T00:00:00Z,1986,3,31,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-05-11T00:00:00Z,1986,5,11,-38.0401,144.5096,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-07-24T00:00:00Z,1988,7,24,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-04-29T00:00:00Z,1993,4,29,-38.041,144.5233,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-07-25T00:00:00Z,1993,7,25,-38.2246,144.6884,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1984-08-12T00:00:00Z,1984,8,12,-38.05,144.4997,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-06-03T00:00:00Z,1989,6,3,-38.2735,144.593,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1981-05-01T00:00:00Z,1981,5,1,-38.2735,144.6763,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-09-13T00:00:00Z,1991,9,13,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1960-01-01T00:00:00Z,1960,1,1,-37.8663,144.802,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-04-17T00:00:00Z,1994,4,17,-37.9923,144.5648,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1951-01-01T00:00:00Z,1951,1,1,-38.4985,142.3347,EPSG:4326,Neophema (Neonanodes) chrysogaster,
